date	open	high	low	close	volume	code
2015-07-02	25720	26080	25700	25980	8223000	a005930
2015-07-01	25360	26040	25180	25900	8324900	a005930
2015-06-30	25520	25700	25320	25360	9870350	a005930
2015-06-29	25380	25700	25120	25620	11519950	a005930
2015-06-26	25040	25800	25040	25560	10347500	a005930
2015-06-25	25800	26060	25380	25380	10695800	a005930
2015-06-24	26000	26220	25820	26040	10198000	a005930
2015-06-23	26180	26560	25820	26420	10159000	a005930
2015-06-22	25820	25920	25520	25620	6370900	a005930
2015-06-19	25320	25560	25200	25320	7094750	a005930
2015-06-18	25180	25580	25020	25300	8247600	a005930
2015-06-17	25000	25320	24800	25080	9452300	a005930
2015-06-16	25400	25480	24900	25100	12767600	a005930
2015-06-15	25100	25480	25100	25400	8067800	a005930
2015-06-12	25560	25740	25280	25540	11741500	a005930
2015-06-11	25260	25480	25060	25140	15314050	a005930
2015-06-10	25640	25880	25240	25240	12501700	a005930
2015-06-09	26000	26200	25360	25640	13735250	a005930
2015-06-08	26900	26940	26260	26280	10118950	a005930
2015-06-05	26500	27100	26400	26820	9828150	a005930
2015-06-04	26300	26820	26100	26740	19411950	a005930
2015-06-03	26060	26320	25300	25460	11769400	a005930
2015-06-02	26000	26060	25760	26060	8757550	a005930
2015-06-01	26000	26020	25760	25820	10921950	a005930
2015-05-29	26400	26420	25940	26140	17380750	a005930
2015-05-28	26340	26420	26020	26180	15048150	a005930
2015-05-27	27200	27320	26260	26280	17265450	a005930
2015-05-26	27320	27380	26720	27240	10034150	a005930
2015-05-22	27060	27060	26700	27000	8195800	a005930
2015-05-21	27420	27440	26880	27040	7210600	a005930
2015-05-20	26980	27400	26820	27320	10291450	a005930
2015-05-19	26420	27100	26140	26760	8680900	a005930
2015-05-18	26700	26700	26180	26400	9626850	a005930
2015-05-15	27100	27120	26420	26520	8922350	a005930
2015-05-14	26820	26860	26560	26800	8488500	a005930
2015-05-13	26980	26980	26520	26660	9877250	a005930
2015-05-12	26900	27060	26480	26620	10633200	a005930
2015-05-11	27200	27200	26720	26720	9640450	a005930
2015-05-08	27320	27400	26760	26760	9488100	a005930
2015-05-07	27240	27500	27080	27400	10257400	a005930
2015-05-06	27800	27820	27120	27240	13270500	a005930
2015-05-04	28140	28460	27940	28000	8283700	a005930
2015-04-30	27700	28360	27580	28200	18352850	a005930
2015-04-29	27340	27880	27280	27700	10895650	a005930
2015-04-28	27800	28000	27180	27320	15697300	a005930
2015-04-27	28200	28220	27500	27900	16517150	a005930
2015-04-24	28980	29100	28000	28200	19089900	a005930
2015-04-23	29400	29400	28800	29020	9245150	a005930
2015-04-22	28880	29460	28720	29220	12655550	a005930
2015-04-21	28420	28900	28400	28880	11852650	a005930
2015-04-20	28920	28960	28460	28600	12394900	a005930
2015-04-17	29540	29560	28940	29000	10172300	a005930
2015-04-16	29240	29540	28940	29540	10762350	a005930
2015-04-15	29200	29400	28540	28920	13551050	a005930
2015-04-14	29700	29700	29300	29480	9429750	a005930
2015-04-13	29580	29820	29360	29580	10293300	a005930
2015-04-10	29600	29880	29560	29800	9960100	a005930
2015-04-09	29400	29780	29400	29660	9107550	a005930
2015-04-08	29400	29700	29200	29580	7773400	a005930
2015-04-07	29560	29700	29240	29240	9526050	a005930
2015-04-06	28860	29800	28700	29400	10582600	a005930
2015-04-03	28680	28800	28400	28680	6270150	a005930
2015-04-02	28680	28800	28460	28680	6903400	a005930
2015-04-01	28740	28740	28400	28460	7266050	a005930
2015-03-31	28980	29040	28600	28820	9842650	a005930
2015-03-30	28500	28680	28240	28560	8955500	a005930
2015-03-27	28300	28960	28300	28420	16065800	a005930
2015-03-26	29000	29120	28420	28420	21005950	a005930
2015-03-25	29740	29760	29440	29700	9369050	a005930
2015-03-24	29100	29560	29100	29520	9113150	a005930
2015-03-23	29240	29480	29160	29340	8122900	a005930
2015-03-20	29500	29600	29200	29280	12704950	a005930
2015-03-19	30200	30200	29400	29400	13225800	a005930
2015-03-18	29920	30120	29720	30060	12464350	a005930
2015-03-17	29400	30000	29200	29940	13661150	a005930
2015-03-16	29160	29740	29100	29400	8974550	a005930
2015-03-13	29220	29580	29100	29140	9413100	a005930
2015-03-12	29200	29460	28940	28940	19153200	a005930
2015-03-11	28380	29580	28360	29480	21108650	a005930
2015-03-10	28680	28860	28400	28420	10419850	a005930
2015-03-09	28800	28800	28400	28400	7814600	a005930
2015-03-06	28280	28980	28120	28840	11733500	a005930
2015-03-05	28780	28860	28340	28440	9615600	a005930
2015-03-04	28220	28800	28200	28740	11603100	a005930
2015-03-03	28700	28740	28120	28360	13748800	a005930
2015-03-02	27500	28460	27340	28460	21805600	a005930
2015-02-27	27500	27520	27140	27140	13009400	a005930
2015-02-26	27580	27600	27360	27500	8179150	a005930
2015-02-25	27600	27700	27460	27580	8374250	a005930
2015-02-24	27700	27780	27280	27340	10863250	a005930
2015-02-23	27560	27800	27320	27340	15301800	a005930
2015-02-17	27480	27540	27280	27540	5745000	a005930
2015-02-16	27360	27480	27220	27480	6226500	a005930
2015-02-13	27200	27220	26900	27220	6522900	a005930
2015-02-12	26800	27160	26620	26880	10748200	a005930
2015-02-11	27480	27480	27080	27100	9973800	a005930
2015-02-10	28000	28000	27540	27560	6519350	a005930
2015-02-09	27200	27980	27140	27900	8693500	a005930
2015-02-06	26920	27480	26720	27440	8005050	a005930
2015-02-05	27180	27380	26920	27160	6770400	a005930
2015-02-04	27500	27620	27180	27180	9328900	a005930
2015-02-03	27600	27600	27180	27320	5654400	a005930
2015-02-02	27300	27540	27120	27360	10521000	a005930
2015-01-30	27200	27540	27200	27300	16110000	a005930
2015-01-29	27360	27900	27140	27200	13702250	a005930
2015-01-28	27720	27800	27480	27560	10831500	a005930
2015-01-27	27500	28000	27480	28000	9957200	a005930
2015-01-26	27500	27900	27280	27780	10153500	a005930
2015-01-23	28000	28000	27540	27720	12858750	a005930
2015-01-22	27960	27980	27560	27560	17957700	a005930
2015-01-21	27340	27900	27200	27900	16612650	a005930
2015-01-20	27000	27440	26900	27440	13278050	a005930
2015-01-19	26580	26980	26400	26860	6672950	a005930
2015-01-16	26680	26680	26260	26320	13568500	a005930
2015-01-15	26900	26980	26580	26680	14103900	a005930
2015-01-14	26780	27100	26700	26900	14332250	a005930
2015-01-13	26280	26800	26000	26780	12293400	a005930
2015-01-12	26260	26380	26020	26320	8325400	a005930
2015-01-09	26280	26440	26280	26280	9312400	a005930
2015-01-08	26780	26780	26200	26280	14477600	a005930
2015-01-07	25880	26220	25640	26140	14322750	a005930
2015-01-06	26300	26340	25760	25900	15235500	a005930
2015-01-05	26720	26720	26260	26660	10139500	a005930
2015-01-02	26800	26800	26540	26600	8774950	a005930
2014-12-30	26600	26700	26420	26540	10649100	a005930
2014-12-29	26900	26940	26580	26580	9637450	a005930
2014-12-26	26860	27100	26860	27040	11488100	a005930
2014-12-24	26780	26860	26780	26860	6257000	a005930
2014-12-23	26920	26980	26740	26780	10976350	a005930
2014-12-22	26900	26940	26360	26900	17943850	a005930
2014-12-19	25880	26560	25740	26560	18356500	a005930
2014-12-18	25320	25580	25040	25320	11808250	a005930
2014-12-17	25580	25660	25060	25320	13088650	a005930
2014-12-16	25400	25780	25360	25580	12894750	a005930
2014-12-15	25600	25600	25200	25460	14337950	a005930
2014-12-12	26060	26080	25480	25720	14397250	a005930
2014-12-11	26340	26380	25880	26100	20490850	a005930
2014-12-10	26920	26920	26340	26340	15977800	a005930
2014-12-09	26380	27140	26380	26980	13553100	a005930
2014-12-08	26060	26420	26040	26380	7916550	a005930
2014-12-05	26280	26280	26000	26040	5637800	a005930
2014-12-04	26040	26060	25960	26000	8871350	a005930
2014-12-03	26000	26020	25900	25960	9735500	a005930
2014-12-02	25900	25900	25320	25900	9222700	a005930
2014-12-01	25880	25960	25740	25900	12866850	a005930
2014-11-28	25900	25920	25480	25740	9844550	a005930
2014-11-27	25460	26020	25280	25280	44377800	a005930
2014-11-26	23800	24220	23640	24020	12287900	a005930
2014-11-25	24480	24480	23800	23800	17811050	a005930
2014-11-24	24940	24960	24200	24400	10284300	a005930
2014-11-21	24380	24520	24340	24460	12336350	a005930
2014-11-20	24120	24400	24120	24200	10024150	a005930
2014-11-19	24760	24760	24240	24360	12502750	a005930
2014-11-18	24400	24540	24300	24400	10754700	a005930
2014-11-17	23800	24400	23640	24100	9693950	a005930
2014-11-14	24020	24020	23600	23880	10621750	a005930
2014-11-13	24560	24640	23980	24000	11547150	a005930
2014-11-12	24620	24680	24380	24600	9079600	a005930
2014-11-11	25100	25220	24540	24620	12141400	a005930
2014-11-10	24520	25380	24440	25360	19202900	a005930
2014-11-07	24360	24360	23900	24120	6030200	a005930
2014-11-06	23960	24200	23860	24080	8570150	a005930
2014-11-05	24300	24500	23880	24040	10162150	a005930
2014-11-04	24380	24840	24100	24340	13000300	a005930
2014-11-03	25000	25040	24320	24700	13475800	a005930
2014-10-31	23960	25000	23700	24880	38623150	a005930
2014-10-30	22580	23660	22300	23620	24566950	a005930
2014-10-29	22000	22600	21800	22600	13726100	a005930
2014-10-28	21800	22000	21720	21820	6243850	a005930
2014-10-27	22020	22220	21740	21900	8388600	a005930
2014-10-24	22060	22240	21840	22240	8378450	a005930
2014-10-23	22260	22260	21800	21880	8505900	a005930
2014-10-22	21940	22080	21800	22080	11127700	a005930
2014-10-21	21880	22000	21620	21660	11766050	a005930
2014-10-20	22300	22340	22020	22120	9476750	a005930
2014-10-17	22120	22300	21740	21780	16281750	a005930
2014-10-16	22320	22420	22080	22300	15148300	a005930
2014-10-15	22560	22900	22400	22500	14143600	a005930
2014-10-14	22540	22920	22400	22540	16572550	a005930
2014-10-13	21640	22540	21560	22160	11344750	a005930
2014-10-10	22000	22280	21980	22100	21837450	a005930
2014-10-08	22840	23020	22480	22600	14720550	a005930
2014-10-07	23240	23720	23240	23240	10149150	a005930
2014-10-06	22900	23120	22760	23020	21252900	a005930
2014-10-02	23300	23300	22820	22820	12732750	a005930
2014-10-01	23480	23660	23120	23120	11929800	a005930
2014-09-30	23700	23760	23300	23680	12379300	a005930
2014-09-29	23860	24000	23400	23900	9401000	a005930
2014-09-26	23040	23700	22960	23700	12413550	a005930
2014-09-25	23240	23320	22940	23120	19414500	a005930
2014-09-24	23040	23220	22820	23000	15789200	a005930
2014-09-23	23560	23700	23220	23220	19541400	a005930
2014-09-22	24080	24080	23600	23760	16022100	a005930
2014-09-19	24460	24460	24120	24200	13435050	a005930
2014-09-18	24600	24600	24080	24200	9476750	a005930
2014-09-17	24140	24520	24140	24520	7545750	a005930
2014-09-16	24160	24300	24020	24120	7092400	a005930
2014-09-15	24140	24160	23920	24000	7161500	a005930
2014-09-12	24000	24160	24000	24020	10872350	a005930
2014-09-11	24000	24140	23840	23840	23309200	a005930
2014-09-05	24300	24320	23900	24020	10770400	a005930
2014-09-04	24200	24320	24040	24200	12099950	a005930
2014-09-03	24000	24000	23600	23780	21238750	a005930
2014-09-02	24420	24500	23880	23880	15899600	a005930
2014-09-01	24720	24740	24480	24520	5664050	a005930
2014-08-29	24760	24760	24560	24680	14558250	a005930
2014-08-28	25160	25160	24720	24840	10311850	a005930
2014-08-27	24460	24740	24440	24600	12171000	a005930
2014-08-26	24700	24700	24420	24440	10719450	a005930
2014-08-25	24620	24620	24420	24560	11577200	a005930
2014-08-22	24900	24940	24700	24940	8407650	a005930
2014-08-21	25100	25220	24620	24700	17105400	a005930
2014-08-20	25280	25420	25020	25220	9430600	a005930
2014-08-19	25280	25460	25060	25080	10044400	a005930
2014-08-18	25580	25600	25000	25000	10518950	a005930
2014-08-14	25480	25640	25080	25220	10447350	a005930
2014-08-13	25500	25500	24960	25280	12845000	a005930
2014-08-12	25400	25880	25240	25320	8995700	a005930
2014-08-11	25500	25640	25140	25400	18619250	a005930
2014-08-08	25680	25700	24960	25000	20621450	a005930
2014-08-07	26000	26040	25700	25800	9527250	a005930
2014-08-06	26120	26320	25900	26000	10830100	a005930
2014-08-05	26020	26420	26000	26320	8626450	a005930
2014-08-04	26000	26340	25820	26340	12066750	a005930
2014-08-01	26100	26560	25840	25840	28231050	a005930
2014-07-31	27480	27700	26720	26860	24351350	a005930
2014-07-30	27760	28160	27480	27900	17359450	a005930
2014-07-29	27100	27760	27060	27720	12809300	a005930
2014-07-28	27100	27340	26880	27160	8992550	a005930
